Tempo,DaystoTop,Valence1,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Popularity,Song_ID,Genre,Acousticness,Valence,Chord,EndHighWeek,HighestPos
97.961,12 days,1,1,1,1,1,1,1,1,1,1,1,1,1
97.963,281 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.974,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.981,232 days,0,1,1,1,1,1,1,1,1,1,1,1,1
97.989,182 days,2,1,1,1,1,1,1,1,1,1,1,1,1
97.99,17 days,2,1,1,1,1,1,1,1,1,1,1,1,1
98.005,99 days,2,1,1,1,1,1,1,1,1,1,1,1,1
98.01,127 days,1,1,1,1,1,1,1,1,1,1,1,1,1
98.013,63 days,3,1,1,1,1,1,1,1,1,1,1,1,1
98.016,128 days,2,1,1,1,1,1,1,1,1,1,1,1,1
98.023,9 days,1,1,1,1,1,1,1,1,1,1,1,1,1
98.027,127 days,2,1,1,1,1,1,1,1,1,1,1,1,1
