Pop,DaystoTop,Valence,Highest_Charting_Position,Number_of_Times_Charted,HighestPos
3,56 days,0.336,69,7,1
3,56 days,0.429,138,2,1
3,56 days,0.616,174,3,1
3,56 days,0.625,90,4,1
3,56 days,0.662,122,9,1
3,56 days,0.676,21,30,1
3,56 days,0.799,82,12,1
3,56 days,0.896,71,12,1
3,57 days,0.669,83,3,1
3,57 days,0.698,22,32,1
3,57 days,0.729,99,2,1
3,58 days,0.714,37,12,1
3,58 days,0.791,37,31,1
3,59 days,0.629,9,28,0
3,62 days,0.857,132,9,1
3,63 days,0.35,26,27,1
3,63 days,0.459,133,8,1
3,63 days,0.564,68,13,1
3,63 days,0.672,36,22,1
3,63 days,0.715,46,14,1
3,63 days,0.726,131,3,1
3,63 days,0.776,117,16,1
3,63 days,0.865,105,14,1
3,63 days,0.913,186,1,1
3,64 days,0.24,160,3,1
3,64 days,0.698,17,31,0
3,70 days,0.225,10,22,0
3,70 days,0.322,86,19,1
3,70 days,0.379,129,1,1
3,70 days,0.511,29,28,1
3,70 days,0.545,117,7,1
3,70 days,0.662,53,12,1
3,70 days,0.683,150,2,1
3,70 days,0.803,179,3,1
3,70 days,0.876,78,11,1
3,70 days,0.946,82,11,1
3,72 days,0.432,86,8,1
3,72 days,0.963,24,25,1
3,73 days,0.963,110,12,1
3,74 days,0.764,190,3,1
3,76 days,0.443,199,1,1
3,76 days,0.698,42,24,1
3,77 days,0.233,79,11,1
3,77 days,0.349,8,68,0
3,77 days,0.453,42,30,1
3,77 days,0.708,60,10,1
3,77 days,0.712,163,4,1
3,77 days,0.725,81,3,1
3,77 days,0.758,91,10,1
3,77 days,0.937,68,18,1
3,78 days,0.574,3,66,0
3,78 days,0.678,54,29,1
3,78 days,0.781,33,30,1
3,79 days,0.237,195,1,1
